,sex,sex_binary,age,age_group,player_number,first_player,second_player,third_player,fourth_player,encouragement_low,encouragement_middle,encouragement_high,encouragement_neutral,fast_round_sum,success_group,amount_chosen,risk,did_win
31,male,0,32,30,2,0,1,0,0,0.0,1,1,0,20000,15-25,110000,3,0
32,female,1,44,40,2,0,1,0,0,0.0,1,1,1,25000,25-35,25000,2,1
33,male,0,29,20,2,0,1,0,0,0.0,2,1,0,15000,15-25,120000,3,1
34,male,0,37,30,2,0,1,0,0,0.0,1,2,0,20000,15-25,20000,2,1
35,male,0,61,50,2,0,1,0,0,0.0,1,1,0,50000,45-55,170000,3,0
36,female,1,31,30,2,0,1,0,0,0.0,0,3,0,35000,35-45,140000,3,1
37,male,0,19,20,2,0,1,0,0,0.0,1,2,0,40000,35-45,40000,2,0
38,female,1,55,50,2,0,1,0,0,0.0,2,1,0,20000,15-25,20000,2,0
39,male,0,58,50,2,0,1,0,0,0.0,1,1,1,20000,15-25,110000,3,0
40,male,0,42,40,2,0,1,0,0,0.0,3,0,0,20000,15-25,20000,2,1
41,female,1,60,50,2,0,1,0,0,0.0,1,2,0,40000,35-45,40000,2,1
42,male,0,30,30,2,0,1,0,0,0.0,1,1,0,35000,35-45,35000,2,1
43,female,1,24,20,2,0,1,0,0,0.0,3,0,0,25000,25-35,25000,2,0
44,male,0,31,30,2,0,1,0,0,0.0,0,3,0,30000,25-35,110000,3,1
45,male,0,61,50,2,0,1,0,0,0.0,2,0,0,20000,15-25,20000,2,1
46,female,1,28,20,2,0,1,0,0,0.0,1,1,0,25000,25-35,25000,2,1
47,female,1,26,20,2,0,1,0,0,0.0,3,0,0,15000,15-25,110000,3,0
48,male,0,47,40,2,0,1,0,0,0.0,1,1,0,30000,25-35,30000,2,1
49,female,1,32,30,2,0,1,0,0,0.0,0,1,0,20000,15-25,20000,2,0
50,female,1,20,20,2,0,1,0,0,0.0,1,1,0,25000,25-35,25000,2,1
51,male,0,32,30,2,0,1,0,0,0.0,2,0,0,40000,35-45,40000,2,1
52,male,0,19,20,2,0,1,0,0,0.0,0,3,0,45000,45-55,150000,3,1
53,male,0,36,30,2,0,1,0,0,0.0,3,0,0,35000,35-45,35000,2,1
54,male,0,27,20,2,0,1,0,0,0.0,0,3,0,45000,45-55,45000,2,1
55,male,0,67,50,2,0,1,0,0,0.0,1,2,0,25000,25-35,105000,3,1
56,male,0,41,40,2,0,1,0,0,0.0,0,3,0,30000,25-35,30000,2,1
57,female,1,33,30,2,0,1,0,0,0.0,0,0,2,5000,0-15,120000,3,1
58,female,1,59,50,2,0,1,0,0,0.0,0,3,0,30000,25-35,140000,3,0
59,male,0,48,40,2,0,1,0,0,0.0,2,0,0,35000,35-45,35000,2,1
60,male,0,30,30,2,0,1,0,0,0.0,1,2,0,35000,35-45,35000,2,1
61,male,0,26,20,2,0,1,0,0,0.0,1,1,0,20000,15-25,20000,2,1
62,female,1,43,40,2,0,1,0,0,0.0,1,2,0,60000,55-65,60000,2,0
63,female,1,30,30,2,0,1,0,0,0.0,0,3,0,40000,35-45,135000,3,1
64,female,1,34,30,2,0,1,0,0,0.0,2,1,0,25000,25-35,25000,2,1
65,female,1,29,20,2,0,1,0,0,0.0,2,0,0,30000,25-35,30000,2,0
66,female,1,35,30,2,0,1,0,0,0.0,1,1,0,25000,25-35,25000,2,0
67,male,0,27,20,2,0,1,0,0,0.0,2,1,0,15000,15-25,15000,2,0
68,female,1,47,40,2,0,1,0,0,0.0,2,0,0,25000,25-35,25000,2,1
69,male,0,30,30,2,0,1,0,0,0.0,0,2,1,45000,45-55,45000,2,1
70,female,1,16,20,2,0,1,0,0,0.0,3,0,0,25000,25-35,25000,2,1
71,female,1,25,20,2,0,1,0,0,0.0,0,3,0,10000,0-15,90000,3,0
72,female,1,27,20,2,0,1,0,0,0.0,2,1,0,45000,45-55,45000,2,0
73,female,1,26,20,2,0,1,0,0,-1.0,-1,-1,-1,45000,45-55,45000,2,0
74,male,0,42,40,2,0,1,0,0,0.0,1,1,0,40000,35-45,40000,2,1
75,male,0,60,50,2,0,1,0,0,0.0,0,2,1,35000,35-45,135000,3,0
76,female,1,27,20,2,0,1,0,0,0.0,3,0,0,30000,25-35,30000,2,1
77,male,0,28,20,2,0,1,0,0,0.0,2,1,0,25000,25-35,25000,2,1
78,female,1,16,20,2,0,1,0,0,0.0,2,1,0,25000,25-35,25000,2,0
79,male,0,48,40,2,0,1,0,0,0.0,2,1,0,20000,15-25,100000,3,0
80,female,1,24,20,2,0,1,0,0,0.0,1,1,1,30000,25-35,30000,2,0
81,male,0,18,20,2,0,1,0,0,0.0,3,0,0,40000,35-45,40000,2,1
82,female,1,17,20,2,0,1,0,0,0.0,2,0,0,40000,35-45,40000,2,1
83,female,1,43,40,2,0,1,0,0,0.0,2,0,1,35000,35-45,35000,2,0
84,male,0,26,20,2,0,1,0,0,0.0,2,0,0,25000,25-35,25000,2,0
85,female,1,19,20,2,0,1,0,0,0.0,1,2,0,30000,25-35,30000,2,1
86,male,0,59,50,2,0,1,0,0,0.0,1,0,1,35000,35-45,35000,2,1
87,male,0,31,30,2,0,1,0,0,0.0,0,3,0,25000,25-35,25000,2,0
88,male,0,18,20,2,0,1,0,0,0.0,1,2,0,50000,45-55,50000,2,1
89,female,1,45,40,2,0,1,0,0,0.0,1,1,0,25000,25-35,140000,3,0
90,female,1,21,20,2,0,1,0,0,0.0,1,0,1,25000,25-35,25000,2,1
91,male,0,30,30,2,0,1,0,0,0.0,3,0,0,30000,25-35,30000,2,1
92,female,1,21,20,2,0,1,0,0,0.0,0,2,0,30000,25-35,30000,2,1
93,male,0,42,40,2,0,1,0,0,0.0,1,2,0,35000,35-45,135000,3,0
94,male,0,18,20,2,0,1,0,0,0.0,0,1,1,30000,25-35,30000,2,0
95,male,0,31,30,2,0,1,0,0,0.0,0,2,0,35000,35-45,35000,2,1
96,female,1,23,20,2,0,1,0,0,0.0,0,2,0,20000,15-25,20000,2,1
97,female,1,45,40,2,0,1,0,0,0.0,1,2,0,30000,25-35,140000,3,0
98,male,0,33,30,2,0,1,0,0,0.0,0,3,0,20000,15-25,120000,3,0
99,female,1,29,20,2,0,1,0,0,0.0,0,2,0,45000,45-55,45000,2,0
100,male,0,55,50,2,0,1,0,0,0.0,3,0,0,30000,25-35,30000,2,1
0,male,0,56,50,3,0,0,1,0,0.0,2,1,0,35000,35-45,35000,2,1
1,female,1,30,30,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,1
2,female,1,38,30,3,0,0,1,0,-1.0,-1,-1,-1,15000,15-25,15000,2,1
3,female,1,24,20,3,0,0,1,0,0.0,0,3,0,25000,25-35,25000,2,1
4,female,1,31,30,3,0,0,1,0,0.0,1,0,1,35000,35-45,35000,2,1
5,male,0,31,30,3,0,0,1,0,1.0,0,1,0,30000,25-35,150000,3,1
6,female,1,22,20,3,0,0,1,0,0.0,2,1,0,30000,25-35,30000,2,0
7,male,0,37,30,3,0,0,1,0,0.0,0,2,0,40000,35-45,40000,2,1
8,female,1,27,20,3,0,0,1,0,0.0,3,0,0,25000,25-35,25000,2,1
9,male,0,36,30,3,0,0,1,0,0.0,0,2,0,15000,15-25,145000,3,0
10,female,1,29,20,3,0,0,1,0,0.0,0,2,0,30000,25-35,30000,2,1
11,female,1,32,30,3,0,0,1,0,0.0,2,0,0,35000,35-45,35000,2,0
12,male,0,55,50,3,0,0,1,0,0.0,1,0,0,30000,25-35,30000,2,1
13,male,0,25,20,3,0,0,1,0,0.0,2,0,0,30000,25-35,30000,2,0
14,female,1,28,20,3,0,0,1,0,0.0,1,2,0,5000,0-15,50000,3,0
15,female,1,43,40,3,0,0,1,0,0.0,0,0,2,15000,15-25,90000,3,0
16,male,0,37,30,3,0,0,1,0,0.0,2,1,0,20000,15-25,20000,2,0
17,female,1,29,20,3,0,0,1,0,0.0,2,1,0,30000,25-35,30000,2,0
18,male,0,61,50,3,0,0,1,0,0.0,3,0,0,15000,15-25,15000,2,1
19,female,1,32,30,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,0
20,female,1,47,40,3,0,0,1,0,0.0,0,1,0,10000,0-15,100000,3,1
21,female,1,30,30,3,0,0,1,0,0.0,0,2,0,5000,0-15,5000,2,1
22,female,1,29,20,3,0,0,1,0,0.0,2,1,0,30000,25-35,30000,2,0
23,female,1,25,20,3,0,0,1,0,0.0,1,2,0,30000,25-35,30000,2,1
24,male,0,64,50,3,0,0,1,0,-1.0,-1,-1,-1,15000,15-25,50000,3,1
25,female,1,33,30,3,0,0,1,0,0.0,2,1,0,30000,25-35,110000,3,0
